Station_ID,Date,Depth_m,pH_ctd_orig,Temperature_C,Salinity,Oxygen_umol_kg,Density_kg_m3,predicted_OmegaAragonite,predicted_pH,predicted_DIC_umol_kg,predicted_TA_umol_kg,bottle_OmegaAragonite,bottle_pH_insitu,bottle_pH_lab,bottle_DIC_umol_kg,bottle_TA_umol_kg,Year,Quarter,Month,pH_diff,Rep,Agency,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,Season,cast_id
ABC_1,2019-06-23,21,8.07,14.07,33.657,195.10338168,25.136,1.84852058,7.94661554,2080.6655951,2240.2185528,NA,NA,NA,NA,NA,2019,2,6,0.12338446000000047,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,22,8.05,13.58,33.645,194.78124217,25.227,1.79031134,7.94100201,2084.94565553,2239.49950301,NA,NA,NA,NA,NA,2019,2,6,0.10899799000000066,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,23,8.03,13.27,33.631,194.46655675,25.279,1.75293353,7.93723711,2087.48898607,2238.76153032,NA,NA,NA,NA,NA,2019,2,6,0.09276288999999949,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,24,8.02,13.1,33.614,191.71937128,25.3,1.71849668,7.93043794,2090.45477914,2237.9659136,NA,NA,NA,NA,NA,2019,2,6,0.08956205999999955,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,25,8.02,12.98,33.613,188.36234285,25.323,1.68675021,7.92298446,2093.96635352,2237.82745464,NA,NA,NA,NA,NA,2019,2,6,0.09701553999999923,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,26,8.01,12.89,33.612,184.09200294,25.341,1.65374324,7.91411427,2097.93722,2237.71247624,NA,NA,NA,NA,NA,2019,2,6,0.09588573,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,27,8,12.79,33.616,179.82111147,25.363,1.61990182,7.90507761,2102.09496416,2237.79525695,NA,NA,NA,NA,NA,2019,2,6,0.0949223899999998,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,28,7.99,12.64,33.623,176.46266315,25.397,1.58574463,7.89710724,2106.12443482,2237.97052274,NA,NA,NA,NA,NA,2019,2,6,0.0928927599999998,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,29,7.97,12.51,33.629,175.54321298,25.427,1.56681981,7.8938814,2108.16496924,2238.12949455,NA,NA,NA,NA,NA,2019,2,6,0.07611860000000004,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,30,7.96,12.43,33.627,174.62654126,25.441,1.55339303,7.89122775,2109.48150755,2237.98401296,NA,NA,NA,NA,NA,2019,2,6,0.06877225000000031,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,31,7.96,12.41,33.627,173.40666229,25.446,1.54490651,7.88869655,2110.61752188,2237.96917901,NA,NA,NA,NA,NA,2019,2,6,0.07130345000000027,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,32,7.95,12.36,33.629,171.57644785,25.456,1.5300673,7.88465534,2112.43623536,2238.0199965,NA,NA,NA,NA,NA,2019,2,6,0.06534466000000005,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,33,7.95,12.31,33.632,169.44102247,25.469,1.51371935,7.88002466,2114.62071617,2238.11622902,NA,NA,NA,NA,NA,2019,2,6,0.06997534000000005,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,34,7.94,12.25,33.633,167.91547107,25.48,1.49951966,7.87641329,2116.260691,2238.11807904,NA,NA,NA,NA,NA,2019,2,6,0.06358671000000005,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,35,7.94,12.19,33.635,167.91334243,25.493,1.49316759,7.87568198,2116.85423349,2238.16557831,NA,NA,NA,NA,NA,2019,2,6,0.06431801999999998,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,36,7.93,12.13,33.637,166.99683387,25.507,1.4821625,7.87321078,2118.17747675,2238.21448287,NA,NA,NA,NA,NA,2019,2,6,0.05678921999999975,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,37,7.93,12.09,33.637,166.08132203,25.515,1.47330162,7.87097892,2119.22736358,2238.1871571,NA,NA,NA,NA,NA,2019,2,6,0.05902107999999995,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,38,7.93,12.05,33.638,166.08018839,25.522,1.46909387,7.87048691,2119.5474792,2238.20559769,NA,NA,NA,NA,NA,2019,2,6,0.05951308999999938,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,39,7.92,12.02,33.639,164.25066151,25.529,1.45670208,7.86662463,2121.23728973,2238.23122104,NA,NA,NA,NA,NA,2019,2,6,0.053375370000000366,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,40,7.92,11.98,33.641,164.24922006,25.538,1.45251821,7.86612705,2121.64952812,2238.29671616,NA,NA,NA,NA,NA,2019,2,6,0.0538729499999997,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,41,7.92,11.94,33.642,164.24793879999999,25.546,1.44833518,7.86562976,2122.01596312,2238.31673769,NA,NA,NA,NA,NA,2019,2,6,0.0543702399999999,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,42,7.92,11.93,33.642,164.24745833,25.549,1.44728862,7.86550513,2122.15337645,2238.31019902,NA,NA,NA,NA,NA,2019,2,6,0.054494870000000084,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,43,7.91,11.92,33.641,163.63784623,25.55,1.44318669,7.86421274,2122.65625854,2238.2571328,NA,NA,NA,NA,NA,2019,2,6,0.045787259999999996,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,44,7.91,11.91,33.642,162.11390023,25.552,1.4345059,7.86116605,2123.89073252,2238.29712168,NA,NA,NA,NA,NA,2019,2,6,0.04883395000000057,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,45,7.91,11.88,33.643,159.06571585,25.558,1.41614841,7.85493865,2126.45243757,2238.32426742,NA,NA,NA,NA,NA,2019,2,6,0.0550613499999999,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,46,7.91,11.83,33.645,155.10249429,25.57,1.39126196,7.84668036,2129.97876364,2238.38597589,NA,NA,NA,NA,NA,2019,2,6,0.06331964000000045,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,47,7.9,11.64,33.649,150.83082523,25.608,1.35101443,7.83594102,2134.94272992,2238.45774686,NA,NA,NA,NA,NA,2019,2,6,0.06405898000000043,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,48,7.89,11.51,33.649,147.47572186,25.631,1.32169379,7.82768839,2138.53341486,2238.37807249,NA,NA,NA,NA,NA,2019,2,6,0.06231161000000007,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,49,7.88,11.39,33.656,144.11992588,25.66,1.29364673,7.81951243,2142.40995313,2238.65194317,NA,NA,NA,NA,NA,2019,2,6,0.06048757000000027,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,50,7.87,11.28,33.661,139.54626122,25.684,1.26100334,7.80903351,2146.98125798,2238.84040994,NA,NA,NA,NA,NA,2019,2,6,0.060966490000000206,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,51,7.86,11.22,33.667,136.19258894,25.7,1.23924513,7.80160125,2150.26405126,2239.11161084,NA,NA,NA,NA,NA,2019,2,6,0.05839875000000028,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,52,7.85,11.09,33.684,134.66458674,25.735,1.21971205,7.79672907,2153.06057596,2239.91922555,NA,NA,NA,NA,NA,2019,2,6,0.05327093000000005,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,53,7.83,11.02,33.691,132.83410015,25.754,1.20451128,7.79210076,2155.33958021,2240.25325124,NA,NA,NA,NA,NA,2019,2,6,0.03789923999999978,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,54,7.83,10.94,33.7,131.00342595,25.775,1.18846972,7.78730829,2157.71564664,2240.69428714,NA,NA,NA,NA,NA,2019,2,6,0.042691709999999716,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,55,7.82,10.88,33.707,130.08754628,25.79,1.17863323,7.78460957,2159.11712021,2241.04375166,NA,NA,NA,NA,NA,2019,2,6,0.03539043000000053,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,56,7.81,10.84,33.713,130.39054849,25.803,1.176337,7.78462486,2159.49876248,2241.34992897,NA,NA,NA,NA,NA,2019,2,6,0.02537513999999952,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,57,7.81,10.81,33.717,130.38953161,25.811,1.17355222,7.78418255,2159.8760624,2241.55489289,NA,NA,NA,NA,NA,2019,2,6,0.02581744999999991,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
ABC_1,2019-06-23,58,7.81,10.8,33.718,130.08462955,25.813,1.17121462,7.78342802,2160.2021369,2241.6058313,NA,NA,NA,NA,NA,2019,2,6,0.02657197999999994,1,ABC,34.1198979,-119.4049393,230,11.4,OA Impacts,Spring,ABC_ABC_1_2019-06-23
